Date,Location / Operator,Aircraft Type / Registration,Fatalities
01 Jan 2011,"Surgut, RussiaKogalmavia",Tupolev Tu-154B-2RA-85588,3/124(0)
09 Jan 2011,"Orumiyeh, IranIran Air",Boeing B-727-286EP-IRP ,77/105(0)
08 Feb 2011,"Off Plettenberg Bay, South AfricaMajuba Aviation",Pilatus PC-12/47ZS-GAA,9/9(0)
10 Feb 2011,"Cork, IrelandManx2",Swearingen SA-227BC Metro IIIEC-ITP ,6/12(0)
14 Feb 2011,"Near Santa Ana Francisco Morazan, HondurasCentral American Airways",Let L-410 UVPE-20HR-AUQ ,14/14(0)
21 Mar 2011,"Pointe-Noire, CongoTrans Air Cargo",Antonov 12BPTN-AGK,9/9(14)
04 Apr 2011,"Kinshasa, CongoUnited Nations",Canadair CL-600 CRJ-100ER4L-GAE ,32/33(0)
19 Apr 2011,"	Tawang, India	Pawan Hans Helicopters Ltd.",	Mil Mi-172	VT-PHF,18/23(0)
21 Apr 2011,"Manaus, Brazil	AmazonavesAir Taxi",Embraer/Piper EMB-810C SenecaPT-EFS,7/7(0)
07 May 2011,"Off Kaimana, IndonesiaMerpati Nusantara Airlines",Xian MA-60PK-MZK ,27/27(0)
18 May 2011,"Near Prahuaniyeu, ArgentinaSOL Lineas Aereas",Saab 340ALV-CEJ,22/22(0)
20 Jun 2011,"Petrozavodsk, RussiaRusAir Airlines",Tupolev Tu-134RA-65691,47/52(0)
06 Jul 2011,"Near Bagram Air Base, AfghanistanSilk Way Airlines",Ilyushin76TD4K-AZ55,9/9(0)
08 Jul 2011,"Kisangani, CongoHewa Bora Airways",Boeing B-727-1009Q-COP,77/115(0)
11 Jul 2011,"Near Strezhevoy, RussiaAngara Airlines",Antonov An-24RVRA-47302,7/37(0)
13 Jul 2011,"Recife, BrazilNOAR Linhas Aéreas",Let L-401UVP-20PR-NOB,16/16(0)
26 Jul 2011,"Near Guelmim, MoroccoMilitary - Royal Moroccan Air Force",Lockheed C-130 HerculeCNA-OQ,80/80(0)
28 Jul 2011,"Off Jeju, South KoreanAsiana Airlines",Boeing B-747-48EFHL-7604,2/2(0)
06 Aug 2011,"Tangi Valley, AfghanistanMilitary - U.S. Army",Boeing CH-47 Chinook?,38/38(0)
09 Aug 2011,"Near Omsukchan, RussiaAvis Amur",Antonov 12RA-11125,11/11(0)
20 Aug 2011,"Resolute Bay, Nunavut, CanadaFirst Air",Boeing B-737-210C(A) CombiC-GNWN,12/15(0)
26 Aug 2011,"Mosby, MissouriLifeNet",Eurocopter AS350B2N352LN,4/4(0)
02 Sep 2011,"Juan Fernandez Island, ChileChilean Air Force",CASA C-212 Aviocar 300DF966,21/21(0)
06 Sep 2011,"Near Trinidad, BoliviaAerocon",Swearingen SA-227BC Metroliner IIICP-2548,8/9(0)
07 Sep 2011,"Yaroslavl, RussiaYAK Service",Yakovlev 42DRA-42434,44/45(0)
14 Sep 2011,"Huambo, AngolaMilitary - FANA Forca Aerea Nacional Angolana",Embraer 120ER BrasiliaT-500,30/36(0)
16 Sep 2011,"Reno, NevadaPrivate - Aero Trans Corp",North American P-51D-15-NA MustangN79111,1/1(10)
22 Sep 2011,"Yellowknife, Northwest Territories, CanadaArctic Sunwest Charters",De Havilland Canada DHC-6-300 Twin OtterC-GARW ,2/9(0)
25 Sep 2011,"Near Kathmandu, NepalBuddha Air",Beechcraft 1900D9N-AEK,19/19(0)
29 Sep 2011,"Near Bohorok, IndonesiaNusantara Buana Air",CASA NC-212 Aviocar 200PK-TLF,18/18(0)
13 Oct 2011,"Near Madang, Papua New GuineaAirline PNG",de Havilland Canada DHC-8-102P2-MCJ,28/32(0)
27 Oct 2011,"Vancouver, BC, CanadaNorthern Thunderbird Air Inc.",Beechcraft 100 King AirC-GXRX,1/9(0)
10 Nov 2011,"Near Kilohana, Molokai, HawaiiBlue Hawaiian Helicopter",Eurocopter EC-130 B4N11QV,5/5(0)
11 Nov 2011,"Near Santa Catarina Atoyzingo, MexicoFuerza Aerea Mexicana",Aerospatiale AS 332L1 Super PumaXC-UHM,8/8(0)
07 Dec 2011,"Near Henderson, NevadaSundance Helicopters Inc.",Aerospatiale AS-350 B2 EcureuilN37SH,5/5(0)
26 Dec 2011,"Green Grove, Florida?",Bell 206BN5016M,3/3(0)
